Rank,Model,Encoding,ROC_AUC,PR_AUC,F1,MCC,Selection_score
1,XGBoost,Additive,0.9220,0.8914,0.8161,0.6765,0.9186
2,XGBoost,OneHot,0.9189,0.8848,0.8177,0.6787,0.9073
3,Logistic Regression,OneHot,0.9146,0.8794,0.8102,0.6689,0.8816
4,Linear SVM,OneHot,0.9134,0.8788,0.8062,0.6538,0.8644
5,Logistic Regression,Additive,0.9139,0.8752,0.8075,0.6637,0.8626
6,Linear SVM,Additive,0.9128,0.8740,0.8099,0.6639,0.8623
7,RBF SVM,OneHot,0.9103,0.8754,0.7995,0.6501,0.8297
8,RBF SVM,Additive,0.9093,0.8687,0.7877,0.6411,0.8010
9,MLP,Additive,0.8992,0.8564,0.7821,0.6262,0.7279
10,Random Forest,OneHot,0.8980,0.8670,0.7726,0.6181,0.7238
11,MLP,OneHot,0.9003,0.8573,0.7789,0.6215,0.7062
12,Random Forest,Additive,0.8959,0.8645,0.7658,0.6001,0.6881
13,Naive Bayes,Additive,0.8785,0.8414,0.7804,0.6029,0.6321
14,KNN,Additive,0.8615,0.8074,0.7365,0.5116,0.3730
15,KNN,OneHot,0.8522,0.8016,0.7059,0.4458,0.2615
16,Naive Bayes,OneHot,0.8063,0.6887,0.7255,0.4880,-0.0136
